CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1280	55.25089384	930.7096039	8.725587031	-0.987881643	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.6038323	910.4767864	8.875692738	-0.837775936	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.52696112	647.4501592	14.23826982	4.52480115	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.28160546	849.778334	9.449406262	-0.264062412	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.77075208	870.0111514	9.043983096	-0.669485578	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.85819282	890.2439689	9.137471584	-0.57599709	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.9885716	910.4767864	9.387976311	-0.325492363	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.10672396	687.9157942	13.28390478	3.570436107	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.02937728	890.2439689	8.35444356	-1.359025114	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.58051477	930.7096039	8.751569712	-0.961898962	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.39662842	910.4767864	9.420107392	-0.293361282	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.61601264	728.3814291	13.11174539	3.398276714	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.51582392	667.6829767	13.11587866	3.402409982	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.52487485	910.4767864	8.936442402	-0.777026272	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.19629705	849.778334	9.666269884	-0.04719879	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.77340598	890.2439689	8.612866513	-1.100602161	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.30492299	687.9157942	13.41608897	3.7026203	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.25828792	870.0111514	9.846423733	0.132955059	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.31075237	849.778334	9.131904545	-0.581564129	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.76122565	910.4767864	9.195810859	-0.517657815	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.57468539	890.2439689	9.662441844	-0.05102683	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.60113232	768.8470641	10.23957041	0.526101734	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.54871395	890.2439689	8.929796851	-0.783671823	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.59800292	890.2439689	8.901054937	-0.812413737	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.55876194	768.8470641	11.28538782	1.571919146	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.4278616	809.312699	9.61862265	-0.094846025	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.50260045	870.0111514	8.932252089	-0.781216585	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.23231648	789.0798815	10.5560729	0.84260423	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.26042026	870.0111514	9.590196751	-0.123271923	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.47027806	890.2439689	9.286591921	-0.426876754	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.14596494	890.2439689	9.922439804	0.20897113	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.92231604	849.778334	10.21310361	0.499634938	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.80307447	890.2439689	9.251629054	-0.46183962	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.33724538	870.0111514	10.01607339	0.302604715	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.15866684	870.0111514	9.417363325	-0.296105349	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.48297996	849.778334	9.40360473	-0.309863944	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.53705518	930.7096039	9.761390884	0.04792221	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.03942527	647.4501592	14.4174954	4.704026729	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.68857307	748.6142466	10.12489606	0.41142739	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.00658131	870.0111514	9.770678604	0.05720993	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.50842983	890.2439689	9.113450341	-0.600018333	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.35103649	890.2439689	9.934776616	0.221307942	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.81207933	849.778334	9.527963395	-0.185505279	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.05639185	809.312699	10.63885187	0.925383197	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.17563342	890.2439689	9.141081694	-0.57238698	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.61601264	870.0111514	9.763030565	0.049561891	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.95677077	890.2439689	10.15872017	0.445251494	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.52909346	829.5455165	9.267279712	-0.446188962	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.60805091	849.778334	9.644372958	-0.069095716	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.69392696	910.4767864	9.240225442	-0.473243232	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.75539627	930.7096039	9.036067342	-0.677401332	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.44961443	870.0111514	10.3078068	0.594338125	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.66316927	870.0111514	9.246129775	-0.467338899	TL	Prothesis	D-	G-	R-	ABX-
CI1280	60.43904487	950.9424213	11.05442521	1.340956533	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.05639185	849.778334	9.972185205	0.25871653	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.15814527	870.0111514	10.26822538	0.554756703	TL	Prothesis	D-	G-	R-	ABX-
